(E)2003-61@@http://dx.doi.org/10.1080/01650424.2011.597405@     ception trap/K. A. Jackson D. Carpenter BMNH{E}2003–61’’ (BMNH). Paratype: 1<, same
B.M. 1927-63@Pseudochironomous @http://dx.doi.org/10.1080/01650420902787556@     Museum (Natural History) (BMNH). A male, identiﬁed from a mixed sample, will
NHM723909@@http://dx.doi.org/10.1080/00222930902807783@Pimpla sp. A                                         Madagascar                            NHM723909        EU378836
NHM670939@@http://dx.doi.org/10.1080/00222930902807783@Theronia (= Poecilopimpla) sp. B                     Madagascar                            NHM670939        EU378807
NHM723936 @@http://dx.doi.org/10.1080/00222930902807783@Diaparsis sp. B                                        Madagascar                            NHM723936        EU378852
 NHM723900  @@http://dx.doi.org/10.1080/00222930902807783@Diaparsis sp. D                                        Madagascar                            NHM723900        EU378854
NHM723917@@http://dx.doi.org/10.1080/00222930902807783@Diaparsis sp. E                                        Madagascar                            NHM723917        EU378855
NHM723871@@http://dx.doi.org/10.1080/00222930902807783@Diaparsis sp. F                                        Madagascar                            NHM723871        EU378856
NHM670935 @@http://dx.doi.org/10.1080/00222930902807783@Diaparsis sp. G                                        Madagascar                            NHM670935        EU597843
NHM676039@@http://dx.doi.org/10.1080/00222930902807783@Neliopisthus sp. A                                 Madagascar                            NHM676039   EU378872
NHM723864 @@http://dx.doi.org/10.1080/00222930902807783@Neliopisthus sp. B                                 Madagascar                            NHM723864   EU378873
NHM723876@@http://dx.doi.org/10.1080/00222930902807783@Netelia sp. G                                      Madagascar                            NHM723876   EU427403
NHM723903@@http://dx.doi.org/10.1080/00222930902807783@   Second, conspecific specimen from same locality had identical sequence (voucher NHM723903).
NHM670810@@http://dx.doi.org/10.1080/00222930902807783@   Sequence identical to second specimen from same locality (voucher NHM670810).
1947.2.27.50@@http://dx.doi.org/10.1080/00222930050020140@      (® gure 7); depressiceps: lectotype BMNH 1947.2.27.50 (® gure 8), paralectotypes
1947.2.27.51@@http://dx.doi.org/10.1080/00222930050020140@      BMNH 1947.2.27.51 ± 53; acuticeps: holotype ZMB 30496 (® gure 9); mocquardii:
1947.2.8.62@@http://dx.doi.org/10.1080/00222930050020140@      holotype BMNH 1947.2.8.62 (® gure 10)) are included in table 1. Webbing formulae
1947.2.27.50@@http://dx.doi.org/10.1080/00222930050020140@      Fig. 8.   Preserved   lectotype   of   Mantidactylus depressiceps,   BMNH   1947.2.27.50 .
1947.2.8.62@@http://dx.doi.org/10.1080/00222930050020140@      Fig. 10. Preserved holotype of Rhacophorus mocquardii, BMNH 1947.2.8.62 , junior synonym
1999.675.@@http://dx.doi.org/10.1080/002229300299273@      depth in Bohai Bay, NHM Reg. No. 1999.675. Paratypes: one male (dissected on
1999.676-679@@http://dx.doi.org/10.1080/002229300299273@      to three slides) and two whole and one partial female, spirit preserved, NHM Reg.
1963.1.127@@http://dx.doi.org/10.1080/00222930903094654@      Paratype, NHM1963.1.127, Saldanha Bay, South Africa 33°03′ S, 18°00′9″ E, 15 m
2000.7.8.21–25@@http://dx.doi.org/10.1080/002229302100003629@      Lubuk Lampam Oki and Lebak                 36        36 (30)       Lampam Oki, a       03°35∞17∞∞S, 104°56∞08∞∞E   NHM 2000.7.8.21–25; MZB§
1866.5.2.183@@http://dx.doi.org/10.1080/002229302100003629@                                   Bogor, west Java (39), Wadaslintang reservoir, Wonosobo,      (43); NHM 1866.5.2.183 (43; type specimen); NHM
1866.5.2.183@@http://dx.doi.org/10.1080/002229302100003629@      originally from a specimen collected at Surabaya in east Java (NHM 1866.5.2.183).
DES No. Rh. 2870@@http://dx.doi.org/10.1080/00222931003633227@      specimens each have five labels, as follows: “BMNH DES No. Rh. 2870 Pereute
DES Rh. 3164@@http://dx.doi.org/10.1080/00222931003633227@      One specimen is labelled as follows: “BMNH DES Rh. 3164 Leodonta tagaste.
DES No. Rh. 2869@@http://dx.doi.org/10.1080/00222931003633227@      The pupal specimen of C. seitzi is labelled as follows: “BMNH DES No. Rh. 2869
1907.5.22@@http://dx.doi.org/10.1080/00222930701770786@      CL 17.1 mm (NHM 1907.5.22), right cheliped; (H) M. minuta, male, CL 19.5 mm (NHM 1898.8.26.3), right
1898.8.26.3@@http://dx.doi.org/10.1080/00222930701770786@         A specimen in the NHM (1898.8.26.3) was considered as a syntype by Galil (1993).
1934.1.16.23@@http://dx.doi.org/10.1080/00222930701770786@      Paratype: Sri Lanka, Gulf of Manaar, Herdman coll.: 1 ov. female (NHM 1934.1.16.23).
1898.8.26.3@@http://dx.doi.org/10.1080/00222930701770786@      148 fathoms (126–275 m), 15 October 1898: one male (NHM 1898.8.26.3). Gulf of
1907.5.22@@http://dx.doi.org/10.1080/00222930701770786@      Figure 10. Mursia minuta sp. nov. (A, B) Male holotype, CL 17.1 mm (NHM 1907.5.22), dorsal and ventral
1903.4.24.74-77@@http://dx.doi.org/10.1080/00222933.2010.534560@      Ghana: BMNH 1903.4.24.74-77: Atesu River, Coll. R. B. N. Walker, (syntypes of A. atesuen-
1949.11.1.1@@http://dx.doi.org/10.1080/00222933.2010.534560@      11◦ 04.514 W, Coll. F. Pezold et al., 34.0–52.0 mm. Sierra Leone: Small Coastal basins: BMNH
1976.11.12.88-90@@http://dx.doi.org/10.1080/00222933.2010.534560@      1949.11.1.1: Freetown, 35.3 mm; BMNH 1976.11.12.88-90: Regents stream, 23.8–28.4 mm.
1932.5.18.50-53@@http://dx.doi.org/10.1080/00222933.2010.534560@      Sewa River basin: BMNH 1932.5.18.50-53: Bagbwe River, near Tembutinda, Coll. G. Bates,
2001.12.5.574-577@@http://dx.doi.org/10.1080/00222933.2010.534560@      60.5–65.1 mm; Unknown river basins: BMNH 2001.12.5.574-577: 36.0–43.4 mm (syntypes of
1988065@@http://dx.doi.org/10.1080/00222930903470086@      lectotype (Taylor and Wells, 1994, as “Holotype”) of Pleurotoma (Drillia) subochracea, BMNH
1854.4.10.59@@http://dx.doi.org/10.1080/00222930903470086@      syntype of Pleurotoma (Drillia) incerta, BMNH 1854.4.10.59, New Guinea; 25.0 × 7.9 mm; (F,
1988065@@http://dx.doi.org/10.1080/00222930903470086@      Lectotype (Taylor and Wells 1994, as “Holotype”) BMNH 1988065 (checked by
1874.12.11.293@@http://dx.doi.org/10.1080/00222930903470086@      of Pleurotoma laterculata, BMNH 1874.12.11.293, Lombe Taylor collection, China Seas;
1968604@@http://dx.doi.org/10.1080/00222930903470086@      differs greatly in shape from them, and the shell labelled as holotype (BMNH
1873.8.6.6@@http://dx.doi.org/10.1080/00222930903470086@      Three syntypes BMNH 1873.8.6.6 (checked by Kilburn), one syntype NMGW
196437@@http://dx.doi.org/10.1080/00222930903470086@      Syntypes BMNH 196437, one marked with a red dot (checked by Kilburn).
1854.4.10.59@@http://dx.doi.org/10.1080/00222930903470086@      Pleurotoma incerta (BMNH 1854.4.10.59). This species may prove referable to genus Funa.
1876.1.10.140@@http://dx.doi.org/10.1080/00222930903470086@      (BMNH 1876.1.10.140) has been examined by Kilburn (manuscript).
1873.8.6.8@@http://dx.doi.org/10.1080/00222930903470086@      Pleurotoma (Drillia) chocolata (BMNH 1873.8.6.8, examined by Kilburn). This spec-
1963873@@http://dx.doi.org/10.1080/00222930903470086@      Three syntypes BMNH 1963873 (checked by Kilburn).
1873.8.6.14@@http://dx.doi.org/10.1080/00222930903470086@      Holotype of Pleurotoma patruelis is BMNH 1873.8.6.14 (checked by Kilburn).
1964227@@http://dx.doi.org/10.1080/00222930903470086@      Figure 6. (A) Syntype of Pleurotoma (Drillia) concolor Smith, 1877, BMNH 1964227, Moluc-
AC 452-1@@http://dx.doi.org/10.1080/0022293031000156268@      19 January 1938, shore, NHMLAC 452-1 (two specimens); Costa Rica (Coco
AC 452-2@@http://dx.doi.org/10.1080/0022293031000156268@      Islands, Chatham Bay), 14 January 1938, shore, NHMLAC 452-2 (two specimens);
AC 452-3@@http://dx.doi.org/10.1080/0022293031000156268@      NHMLAC 452-3 (one specimen); Galapagos Islands (Osborn Island), 9 December
AC 452-5@@http://dx.doi.org/10.1080/0022293031000156268@      1934, intertidal, NHMLAC 452-5 (two specimens); Mexico (Gulf of California,
AC 452-6@@http://dx.doi.org/10.1080/0022293031000156268@      Espiritu Santo Island), 23 February 1936, shore, NHMLAC 452-6 (three speci-
AC 232–34@@http://dx.doi.org/10.1080/0022293031000156268@         Name-bearing type. Holotype NHMLAC 232–34; paratype NHMLAC
AC 232–34@@http://dx.doi.org/10.1080/0022293031000156268@      NHMLAC 232–34 (holotype); Costa Rica (South of Mala pt., Port Culebra,
AC 256–34b@@http://dx.doi.org/10.1080/0022293031000156268@      Hancock expedition, NHMLAC 256–34b (paratype); Columbia (Octavia Bay,
AC 433–35@@http://dx.doi.org/10.1080/0022293031000156268@      Hancock expedition, NHMLAC 433–35; Panama (Bahia Honda, Velero III sta-
AC 861–38@@http://dx.doi.org/10.1080/0022293031000156268@      expedition, NHMLAC 861–38; Mexico (Bahia California, 7‡44’25ATSYMBOLN,
89.6.15.34@@http://dx.doi.org/10.1080/0022293031000156268@      9920 (two specimens); Indonesia (Java Sea), NHM 89.6.15.34 (one specimen);
1955.10.14.48@@http://dx.doi.org/10.1080/0022293031000156268@      Maldives, NHM 1955.10.14.48 (one specimen); Indonesia (Celebes Islands,
1979.2.5.229@@http://dx.doi.org/10.1080/0022293031000156268@      Kenya (Watamu), 20 August 1969, beneath rock, coll. W. Humphreys, NHM
1955.10.14.48@@http://dx.doi.org/10.1080/0022293031000156268@      pertinax, and used the latter species (specimen NHM 1955.10.14.48 from the
89.6.15.34@@http://dx.doi.org/10.1080/0022293031000156268@      trated specimen NHM 89.6.15.34 as L. semperiana. An examination of his illus-
 @@http://dx.doi.org/10.1080/0022293031000156268@      two specimens from Glorious Islands and one from the NHM collections, that
1969.5.27.22@@http://dx.doi.org/10.1080/0022293031000156268@      lago, Diego Garcia), 7 August 1967, coll. J. D. Taylor, NHM 1969.5.27.22 (two
1969.5.27.23.26 @@http://dx.doi.org/10.1080/0022293031000156268@      8 August 1967, sublittoral fringe, coll. J. D. Taylor, NHM 1969.5.27.23.26 (five
1999.2148@@http://dx.doi.org/10.1080/0022293031000156268@      sublittoral rock, coll. A. Price, NHM 1999.2148 (one specimen); Philippine
1979.2.5.229,@@http://dx.doi.org/10.1080/0022293031000156268@      semperianum (NHM 1979.2.5.229, identified by A. M. Clark) proved to be L.
 @@http://dx.doi.org/10.1080/0022293031000156268@      from IRSNB, MCZ, NHM, RMNH and ZMH revealed many misidentifications
 1974.12.3.42.43@@http://dx.doi.org/10.1080/0022293031000156268@          Name-bearing type. Holotype NHM 1974.12.3.42.43 (L~125 mm); paratype
1974.12.3.42.43@@http://dx.doi.org/10.1080/0022293031000156268@      NHM 1974.12.3.42.43 (L~112 mm).
1974.12.3.42.43@@http://dx.doi.org/10.1080/0022293031000156268@      flat (LWM), coll. P. Gibbs, NHM 1974.12.3.42.43 under the name L. semperia-
1979.2.5.229@@http://dx.doi.org/10.1080/0022293031000156268@      (NHM 1979.2.5.229) of L. semperianum should be L. pertinax. This implies that
1870.10.26.89@@http://dx.doi.org/10.1080/00222930110120610@         Holotype (reticulata), MNHN Paris (SH=16.8 mm); syntypes (humilis), BMNH
1870.10.26.89@@http://dx.doi.org/10.1080/00222930110120610@            1865 (from BMNH syntype series no. 1870.10.26.89), Bay of St Vincent, SH=12.3 mm;
1870.10.26.88@@http://dx.doi.org/10.1080/00222930110120610@         Syntypes (neglecta), BMNH 1870.10.26.88, six specimens; lectotype here selected
1870.10.26.88@@http://dx.doi.org/10.1080/00222930110120610@            Purpura neglecta Angas, 1867 (from BMNH syntype series no. 1870.10.26.88), SH=
19991575@@http://dx.doi.org/10.1080/00222930110120610@      (typica), BMNH 19991575, four specimens; lectotype here selected (SH=37.2 mm
2162@@http://dx.doi.org/10.1080/00222930110120610@      C.69073, BMNH 2162, NMNZ M117802); Matai Bay (NMNZ M117811);
1870.10.26.87@@http://dx.doi.org/10.1080/00222930110120610@          Syntypes ( flindersi ), BMNH 1870.10.26.87, four specimens, lectotype here
1870.10.26.70@@http://dx.doi.org/10.1080/00222930110120610@            1864 (from syntype series BMNH 1870.10.26.70), York’s Peninsula, South Australia,
1870.10.26.69@@http://dx.doi.org/10.1080/00222930110120610@            syntype series BMNH 1870.10.26.69), Port Jackson, SH=28.0 mm; (L) paralectotype
1870.10.26.69@@http://dx.doi.org/10.1080/00222930110120610@         Syntypes (hanleyi ), BMNH 1870.10.26.69, five specimens, lectotype here selected
1870.10.26.70@@http://dx.doi.org/10.1080/00222930110120610@      (SH=28.0 mm); syntypes ( paivae), BMNH 1870.10.26.70, six specimens, lectotype
 2010.214–219@@http://dx.doi.org/10.1080/00222933.2011.562618@      November 1952 (NHM 2010.214–219).
1917.12.12 6–25@@http://dx.doi.org/10.1080/00222933.2011.562618@      12 December 1917, coll. Robin Kemp (NHM 1917.12.12 6–25).
1917.12.12 6–25@@http://dx.doi.org/10.1080/00222933.2011.562618@      (C) sternal view. Adult male (NHM 1917.12.12 6–25), CW 21.6.
1917.12.12 6–25@@http://dx.doi.org/10.1080/00222933.2011.562618@      view; (C) GO2, ventral view. Adult male (NHM 1917.12.12 6–25), length of the terminal article
 @@http://dx.doi.org/10.1080/00222930601062771@      Holotype: NHM 2006.7.21.1, specimen HI-50, bleached, coated for SEM; Kapa’a Beach
 @@http://dx.doi.org/10.1080/00222930601062771@      Paratypes: same locality and collecting information as for holotype. Paratype 1, NHM
 2006.7.21.2@@http://dx.doi.org/10.1080/00222930601062771@      2006.7.21.2, specimen HI-42, bleached, coated for SEM. Paratype 2, NHM 2006.7.21.3,
2006.7.21.4@@http://dx.doi.org/10.1080/00222930601062771@      unbleached specimen. Paratype 3, NHM 2006.7.21.4, unbleached specimen; with
2006.7.21.1@@http://dx.doi.org/10.1080/00222930601062771@      Figure 3. (A–C) Alderina flaventa n. sp., holotype (NHM 2006.7.21.1): (A) group of autozooids and ovicellate
 2006.7.21.5@@http://dx.doi.org/10.1080/00222930601062771@      Holotype: NHM 2006.7.21.5, specimen HI-61, bleached, coated for SEM; Kapa’a Beach
2006.7.21.5@@http://dx.doi.org/10.1080/00222930601062771@      Figure 4. Corbulella extenuata n. sp., holotype (NHM 2006.7.21.5): (A) autozooid, unbleached; (B) marginal
2006.7.21.7@@http://dx.doi.org/10.1080/00222930601062771@      of autozooids and ovicellate zooids. (B, D, F, H) Puellina septemcryptica n. sp.: (B) paratype (NHM 2006.7.21.7),
2006.7.21.6@@http://dx.doi.org/10.1080/00222930601062771@      autozooids, ovicellate zooids, and a marginal avicularium; (D) holotype (NHM 2006.7.21.6), ancestrula and
2006.7.21.6@@http://dx.doi.org/10.1080/00222930601062771@      Holotype: NHM 2006.7.21.6, specimen HI-5 (part), two ancestrular colonies encrusting
2006.7.21.7@@http://dx.doi.org/10.1080/00222930601062771@      March 2005; M. H. Dick, collector; intertidal, 0.15 m low tide. Paratype: NHM
2006.7.21.8@@http://dx.doi.org/10.1080/00222930601062771@      Kapa’a Shore, Island of Hawaii (A–B, D, F–H): (A) holotype (NHM 2006.7.21.8), autozooids and ovicellate
2006.7.21.10@@http://dx.doi.org/10.1080/00222930601062771@      zooid; (B) holotype, enlargement of orifice; (C) stages in ovicell formation; (D) paratype 2 (NHM 2006.7.21.10),
2006.7.21.8@@http://dx.doi.org/10.1080/00222930601062771@      Holotype: NHM 2006.7.21.8, specimen HI-56, bleached, coated for SEM; Kapa’a
2006.7.21.9,@@http://dx.doi.org/10.1080/00222930601062771@      NHM 2006.7.21.9, two unbleached fragments, one with embryos. Paratype 2, NHM
 2006.7.21.10@@http://dx.doi.org/10.1080/00222930601062771@      2006.7.21.10, specimen HI-2, bleached, coated for SEM. Paratype 3, NHM 2006.7.21.11,
2006.7.21.11@@http://dx.doi.org/10.1080/00222930601062771@      2006.7.21.10, specimen HI-2, bleached, coated for SEM. Paratype 3, NHM 2006.7.21.11,
2006.7.21.12@@http://dx.doi.org/10.1080/00222930601062771@      specimen HI-79, bleached, coated for SEM. Paratype 4, NHM 2006.7.21.12, specimen
2006.7.21.13@@http://dx.doi.org/10.1080/00222930601062771@      HI-17 (ancestrula), bleached, coated for SEM. Paratype 5, NHM 2006.7.21.13, specimen
2006.7.21.14@@http://dx.doi.org/10.1080/00222930601062771@      bleached. Paratype 6, NHM 2006.7.21.14, specimen bleached. Paratype 7, YPM-38552,
2006.7.21.15@@http://dx.doi.org/10.1080/00222930601062771@      (D, E) Calyptotheca kapaaensis n. sp., holotype (NHM 2006.7.21.15): (D) autozooids; (E) enlargement of primary
2006.7.21.16@@http://dx.doi.org/10.1080/00222930601062771@      Paratype: NHM 2006.7.21.16, same locality and collecting information as for holotype;
2006.7.21.18@@http://dx.doi.org/10.1080/00222930601062771@      Figure 12. (A–C) Bryopesanser serratus n. sp.: (A) paratype 1 (NHM 2006.7.21.18), autozooids; note predation
2006.7.21.17@@http://dx.doi.org/10.1080/00222930601062771@      hole in right-hand zooid; (B) holotype (NHM 2006.7.21.17), enlargement of distal end of an ovicellate zooid; (C)
2006.7.21.20@@http://dx.doi.org/10.1080/00222930601062771@      Figure 13. (A–C) Cribellopora souleorum n. sp., paratype 1 (NHM 2006.7.21.20): (A) autozooids and ovicellate
2006.7.21.19@@http://dx.doi.org/10.1080/00222930601062771@      Holotype: NHM 2006.7.21.19, unbleached specimen; Kapa’a Beach Park, Island of
2006.7.21.20@@http://dx.doi.org/10.1080/00222930601062771@      locality and collecting information as for holotype. Paratype 1, NHM 2006.7.21.20,
2006.7.21.21@@http://dx.doi.org/10.1080/00222930601062771@      Holotype: NHM 2006.7.21.21, specimen HI-46, bleached, coated for SEM; Kapa’a Beach
